1709037467095	geckodriver::marionette	TRACE	Retrying in 100ms
1709037467102	Marionette	DEBUG	Closed connection 1
1709037467110	Marionette	DEBUG	Closed connection 2
Read port: 45155
1709037467611	Marionette	DEBUG	Accepted connection 3 from 127.0.0.1:55530
1709037468215	geckodriver::marionette	TRACE	Retrying in 100ms
Read port: 45155
1709037468540	Marionette	DEBUG	Accepted connection 4 from 127.0.0.1:55546
1709037468540	Marionette	DEBUG	Closed connection 3
1709037468553	geckodriver::marionette	DEBUG	Connection to Marionette established on 127.0.0.1:45155.
1709037468664	Marionette	DEBUG	4 -> [0,1,"WebDriver:NewSession",{"browserName":"firefox"}]
1709037468669	Marionette	DEBUG	Waiting for initial application window
console.error: ({})
JavaScript error: resource://activity-stream/lib/ActivityStreamPrefs.sys.mjs, line 34: NS_ERROR_ILLEGAL_VALUE: Component returned failure code: 0x80070057 (NS_ERROR_ILLEGAL_VALUE) [nsIPrefBranch.removeObserver]
1709037473665	Marionette	TRACE	Received observer notification quit-application
1709037473665	Marionette	INFO	Stopped listening on port 45155
1709037473665	RemoteAgent	DEBUG	Resetting recommended pref apz.content_response_timeout
1709037473665	RemoteAgent	DEBUG	Resetting recommended pref browser.contentblocking.introCount
1709037473665	RemoteAgent	DEBUG	Resetting recommended pref browser.download.panel.shown
1709037473665	RemoteAgent	DEBUG	Resetting recommended pref browser.newtabpage.activity-stream.showSponsoredTopSites
1709037473665	RemoteAgent	DEBUG	Resetting recommended pref browser.newtabpage.enabled
1709037473666	RemoteAgent	DEBUG	Resetting recommended pref browser.pagethumbnails.capturing_disabled
1709037473666	RemoteAgent	DEBUG	Resetting recommended pref browser.region.network.url
1709037473666	RemoteAgent	DEBUG	Resetting recommended pref browser.safebrowsing.blockedURIs.enabled
1709037473668	RemoteAgent	DEBUG	Resetting recommended pref browser.safebrowsing.downloads.enabled
1709037473671	RemoteAgent	DEBUG	Resetting recommended pref browser.safebrowsing.malware.enabled
1709037473673	RemoteAgent	DEBUG	Resetting recommended pref browser.safebrowsing.phishing.enabled
1709037473675	RemoteAgent	DEBUG	Resetting recommended pref browser.search.update
1709037473676	RemoteAgent	DEBUG	Resetting recommended pref browser.startup.couldRestoreSession.count
1709037473676	RemoteAgent	DEBUG	Resetting recommended pref browser.tabs.closeWindowWithLastTab
1709037473676	RemoteAgent	DEBUG	Resetting recommended pref browser.tabs.unloadOnLowMemory
1709037473676	RemoteAgent	DEBUG	Resetting recommended pref browser.tabs.warnOnClose
1709037473676	RemoteAgent	DEBUG	Resetting recommended pref browser.tabs.warnOnCloseOtherTabs
